                  Time        error x        error y        error z
252677530.000000000000000          0.065         -0.002          0.031
252677540.000000000000000          0.064         -0.008          0.031
252677550.000000000000000          0.065         -0.004          0.029
252677560.000000000000000          0.067         -0.014          0.025
252677570.000000000000000          0.073         -0.010          0.024
252677580.000000000000000          0.071         -0.006          0.027
252677590.000000000000000          0.056         -0.023          0.032
252677600.000000000000000          0.067         -0.009          0.031
252677610.000000000000000          0.068         -0.005          0.029
252677620.000000000000000          0.069          0.002          0.030
252677630.000000000000000          0.066          0.002          0.028
252677640.000000000000000          0.068         -0.003          0.030
252677650.000000000000000          0.068          0.002          0.037
252677660.000000000000000          0.068          0.008          0.039
252677670.000000000000000          0.068         -0.002          0.030
252677680.000000000000000          0.071         -0.000          0.030
252677690.000000000000000          0.080         -0.007          0.031
252677700.000000000000000          0.069         -0.003          0.030
252677710.000000000000000          0.076         -0.008          0.029
252677720.000000000000000          0.074         -0.000          0.028
252677730.000000000000000          0.068         -0.001          0.030
252677740.000000000000000          0.072          0.003          0.030
252677750.000000000000000          0.065         -0.004          0.029
252677760.000000000000000          0.070          0.004          0.031
252677770.000000000000000          0.084         -0.011          0.026
252677780.000000000000000          0.089         -0.010          0.028
252677790.000000000000000          0.075         -0.004          0.029
252677800.000000000000000          0.089         -0.006          0.026
252677810.000000000000000          0.088          0.001          0.026
252677820.000000000000000          0.075         -0.002          0.029
252677830.000000000000000          0.068         -0.003          0.032
252677840.000000000000000          0.057          0.002          0.031
252677850.000000000000000          0.078         -0.006          0.029
252677860.000000000000000          0.088         -0.009          0.029
252677870.000000000000000          0.081         -0.009          0.027
252677880.000000000000000          0.082         -0.001          0.031
252677890.000000000000000          0.075          0.000          0.026
252677900.000000000000000          0.078         -0.003          0.026
252677910.000000000000000          0.079          0.001          0.029
252677920.000000000000000          0.081          0.005          0.036
252677930.000000000000000          0.085          0.007          0.034
252677940.000000000000000          0.079         -0.002          0.029
252677950.000000000000000          0.096         -0.018          0.028
252677960.000000000000000          0.098         -0.014          0.030
252677970.000000000000000          0.078          0.001          0.029
252677980.000000000000000          0.097          0.003          0.039
252677990.000000000000000          0.165          0.039          0.039
252678000.000000000000000          0.089         -0.006          0.030
252678010.000000000000000          0.105         -0.018          0.031
252678020.000000000000000          0.121         -0.014          0.036
252678030.000000000000000          0.091         -0.002          0.032
252678040.000000000000000          0.058          0.015          0.027
252678050.000000000000000          0.074          0.013          0.030
252678060.000000000000000          0.095         -0.010          0.031
252678070.000000000000000          0.097         -0.012          0.037
252678080.000000000000000          0.100         -0.009          0.035
252678090.000000000000000          0.096         -0.005          0.030
252678100.000000000000000          0.085         -0.000          0.029
252678110.000000000000000          0.034          0.012          0.020
252678120.000000000000000          0.123         -0.010          0.035
252678130.000000000000000         -0.102          0.036         -0.015
252678140.000000000000000         -0.090          0.045         -0.006
252678150.000000000000000         -0.028          0.028          0.003
252678160.000000000000000          0.010          0.018          0.008
252678170.000000000000000         -0.157          0.062         -0.027
252678180.000000000000000         -0.047          0.031         -0.001
252678190.000000000000000         -0.176          0.059         -0.028
252678200.000000000000000          0.023          0.012          0.016
252678210.000000000000000          0.023          0.016          0.015
252678220.000000000000000          0.032          0.013          0.017
252678230.000000000000000          0.027          0.016          0.021
252678240.000000000000000          0.021          0.013          0.014
252678250.000000000000000          0.025          0.010          0.015
252678260.000000000000000          0.025          0.009          0.017
252678270.000000000000000          0.021          0.012          0.014
252678280.000000000000000          0.023          0.018          0.017
252678290.000000000000000          0.020          0.018          0.017
252678300.000000000000000          0.019          0.014          0.014
252678310.000000000000000          0.029          0.010          0.013
252678320.000000000000000          0.017          0.017          0.008
252678330.000000000000000          0.022          0.012          0.015
252678340.000000000000000          0.022          0.018          0.018
252678350.000000000000000          0.026          0.020          0.020
252678360.000000000000000          0.017          0.016          0.012
252678370.000000000000000          0.025          0.010          0.022
252678380.000000000000000          0.021          0.007         -0.002
252678390.000000000000000          0.019          0.014          0.017
252678400.000000000000000          0.007          0.023         -0.003
252678410.000000000000000          0.007          0.024          0.000
252678420.000000000000000          0.012          0.017          0.012
252678430.000000000000000          0.021          0.015          0.020
252678440.000000000000000          0.008          0.022          0.009
252678450.000000000000000          0.013          0.014          0.013
252678460.000000000000000          0.022          0.008          0.024
252678470.000000000000000          0.011          0.012          0.020
252678480.000000000000000          0.012          0.017          0.011
252678490.000000000000000          0.012          0.016          0.013
252678500.000000000000000          0.014          0.014          0.016
252678510.000000000000000          0.011          0.015          0.013
252678520.000000000000000          0.012          0.021          0.016
252678530.000000000000000          0.007          0.023          0.011
252678540.000000000000000          0.011          0.018          0.011
252678550.000000000000000          0.015          0.017          0.016
252678560.000000000000000          0.016          0.016          0.024
