                  Time        error x        error y        error z
252418090.000000000000000          0.003         -0.000          0.018
252418100.000000000000000          0.003         -0.001          0.012
252418110.000000000000000          0.007         -0.001         -0.007
252418120.000000000000000          0.003          0.001         -0.011
252418130.000000000000000          0.011         -0.006         -0.014
252418140.000000000000000          0.007         -0.003          0.004
252418160.000000000000000          0.008         -0.003         -0.022
252418170.000000000000000          0.006         -0.001          0.001
252418180.000000000000000          0.019         -0.007         -0.015
252418190.000000000000000          0.008         -0.007         -0.009
252418200.000000000000000          0.000          0.000          0.000
252418230.000000000000000         -0.006         -0.000          0.007
252418240.000000000000000          0.002         -0.005         -0.011
252418260.000000000000000         -0.002         -0.004          0.001
252418270.000000000000000          0.000          0.001         -0.001
252418280.000000000000000          0.002         -0.005         -0.009
252418290.000000000000000         -0.002         -0.001          0.004
252418300.000000000000000          0.007          0.002          0.006
252418310.000000000000000          0.015          0.002          0.013
252418320.000000000000000          0.000          0.000          0.000
252418330.000000000000000          0.004          0.001         -0.006
252418340.000000000000000          0.003         -0.006          0.003
252418350.000000000000000          0.010         -0.005         -0.012
252418360.000000000000000          0.009         -0.004         -0.013
252418370.000000000000000          0.000         -0.002         -0.006
252418380.000000000000000          0.010         -0.003         -0.019
252418400.000000000000000          0.007         -0.006         -0.014
252418410.000000000000000          0.004          0.000         -0.012
252418420.000000000000000         -0.004          0.011         -0.015
252418430.000000000000000         -0.001          0.009         -0.010
252418440.000000000000000          0.000          0.000          0.000
252418450.000000000000000          0.001         -0.005          0.010
252418460.000000000000000         -0.001          0.002          0.008
252418470.000000000000000         -0.000          0.002          0.013
252418480.000000000000000         -0.005          0.002          0.021
252418490.000000000000000          0.000          0.003          0.025
252418500.000000000000000         -0.001          0.002          0.024
252418510.000000000000000         -0.007          0.003          0.024
252418520.000000000000000         -0.007          0.009          0.022
252418530.000000000000000         -0.005          0.003          0.016
252418540.000000000000000          0.006          0.004          0.013
252418560.000000000000000          0.000          0.000          0.000
252418570.000000000000000          0.006         -0.010         -0.007
252418580.000000000000000          0.009         -0.006         -0.012
252418590.000000000000000         -0.007         -0.001         -0.018
252418600.000000000000000         -0.005          0.006         -0.017
252418610.000000000000000         -0.022          0.008         -0.026
252418620.000000000000000         -0.008          0.002         -0.027
252418650.000000000000000          0.002         -0.002         -0.018
252418660.000000000000000          0.003         -0.001         -0.011
252418670.000000000000000          0.000          0.007         -0.004
252418680.000000000000000          0.000          0.000          0.000
252418690.000000000000000          0.009         -0.010          0.008
252418770.000000000000000          0.013          0.003          0.025
252418800.000000000000000          0.000          0.000          0.000
252418820.000000000000000         -0.005          0.001         -0.018
252418830.000000000000000          0.009         -0.002         -0.017
252418840.000000000000000          0.020         -0.007         -0.021
252418850.000000000000000         -0.000          0.001         -0.027
252418860.000000000000000         -0.004         -0.001         -0.027
252418870.000000000000000          0.017         -0.007         -0.019
252418880.000000000000000          0.023         -0.007         -0.012
252418890.000000000000000          0.005         -0.005         -0.016
252418910.000000000000000          0.002         -0.001         -0.008
252418920.000000000000000          0.000          0.000          0.000
252418930.000000000000000         -0.009         -0.003         -0.000
252418940.000000000000000         -0.018         -0.001         -0.001
252418950.000000000000000         -0.002         -0.001          0.008
252418960.000000000000000          0.005          0.002          0.013
252418970.000000000000000          0.007          0.001          0.016
252418980.000000000000000          0.001         -0.002          0.013
252418990.000000000000000          0.020          0.004          0.016
252419000.000000000000000          0.020         -0.011          0.010
252419010.000000000000000          0.004         -0.002          0.009
252419020.000000000000000          0.002         -0.005          0.005
252419030.000000000000000          0.007         -0.007          0.004
252419040.000000000000000          0.000          0.000          0.000
252419060.000000000000000          0.007         -0.000          0.006
252419070.000000000000000         -0.010          0.003         -0.005
252419080.000000000000000          0.000          0.003         -0.011
252419090.000000000000000         -0.017          0.006         -0.018
252419100.000000000000000         -0.016          0.006         -0.010
252419110.000000000000000         -0.007          0.003         -0.002
252419120.000000000000000         -0.017          0.008         -0.005
252419130.000000000000000         -0.010          0.006         -0.006
252419140.000000000000000          0.008         -0.000          0.001
252419150.000000000000000          0.010         -0.002          0.005
252419160.000000000000000          0.000          0.000          0.000
252419170.000000000000000          0.008         -0.004         -0.000
