                  Time        error x        error y        error z
252764110.000000000000000         -2.119          1.780         -7.787
252764120.000000000000000          5.409         -5.171        -49.838
252764130.000000000000000         13.464        -12.636        -95.075
252764140.000000000000000         21.788        -20.373       -142.032
252764150.000000000000000         30.124        -28.117       -189.365
252764160.000000000000000          0.000          0.000          0.000
252764170.000000000000000         -1.677          1.496         -7.947
252764180.000000000000000          8.169         -7.013        -49.203
252764190.000000000000000         18.716        -16.154        -93.652
252764200.000000000000000         29.637        -25.627       -139.857
252764210.000000000000000         40.565        -35.124       -186.269
252764220.000000000000000          0.000          0.000          0.000
252764230.000000000000000         -1.226          1.203         -8.063
252764240.000000000000000         10.868         -8.846        -48.383
252764250.000000000000000         23.846        -19.642        -91.813
252764260.000000000000000         37.296        -30.837       -136.964
252764270.000000000000000         50.765        -42.063       -182.315
252764280.000000000000000          0.000          0.000          0.000
252764290.000000000000000         -0.778          0.900         -8.162
252764300.000000000000000         13.508        -10.660        -47.356
252764310.000000000000000         28.844        -23.086        -89.566
252764320.000000000000000         44.742        -35.976       -133.453
252764330.000000000000000         60.670        -48.903       -177.542
252764340.000000000000000          0.000          0.000          0.000
252764350.000000000000000         -0.326          0.587         -8.207
252764360.000000000000000         16.073        -12.458        -46.092
252764370.000000000000000         33.684        -26.475        -86.915
252764380.000000000000000         51.946        -41.015       -129.356
252764390.000000000000000         70.257        -55.606       -172.005
252764400.000000000000000          0.000          0.000          0.000
252764410.000000000000000          0.125          0.267         -8.226
252764420.000000000000000         18.547        -14.212        -44.636
252764430.000000000000000         38.349        -29.782        -83.887
252764440.000000000000000         58.885        -45.937       -124.685
252764450.000000000000000         79.469        -62.133       -165.684
252764460.000000000000000          0.000          0.000          0.000
252764470.000000000000000          0.572         -0.051         -8.206
252764480.000000000000000         20.916        -15.919        -42.965
252764490.000000000000000         42.809        -32.998        -80.475
252764500.000000000000000         65.499        -50.715       -119.421
252764510.000000000000000         88.270        -68.497       -158.589
252764520.000000000000000          0.000          0.000          0.000
252764530.000000000000000          1.031         -0.383         -8.176
252764540.000000000000000         23.206        -17.594        -41.145
252764550.000000000000000         47.057        -36.110        -76.697
252764560.000000000000000         71.796        -55.326       -113.645
252764570.000000000000000         96.624        -74.610       -150.802
252764580.000000000000000          0.000          0.000          0.000
252764590.000000000000000       6121.076      -4649.321      -5875.620
252764600.000000000000000       9154.810      -6993.496      -9079.533
252764610.000000000000000      11989.031      -9183.706     -12074.485
252764620.000000000000000      14593.000     -11196.197     -14829.515
252764630.000000000000000      16937.370     -13008.316     -17315.185
252764640.000000000000000          0.000          0.000          0.000
252764650.000000000000000          1.879         -1.034         -7.953
252764660.000000000000000         27.391        -20.747        -36.927
252764670.000000000000000         54.823        -41.939        -68.143
252764680.000000000000000         83.300        -63.949       -100.619
252764690.000000000000000        111.867        -86.032       -133.263
252764700.000000000000000          0.000          0.000          0.000
252764710.000000000000000          2.288         -1.356         -7.793
252764720.000000000000000         29.284        -22.201        -34.558
252764730.000000000000000         58.302        -44.619        -63.397
252764740.000000000000000         88.424        -67.900        -93.387
252764750.000000000000000        118.678        -91.276       -123.567
252764760.000000000000000          0.000          0.000          0.000
252764770.000000000000000          2.693         -1.678         -7.596
252764780.000000000000000         31.026        -23.576        -32.023
252764790.000000000000000         61.520        -47.148        -58.369
252764800.000000000000000         93.159        -71.612        -85.762
252764810.000000000000000        124.925        -96.173       -113.316
252764820.000000000000000          0.000          0.000          0.000
252764830.000000000000000          3.082         -2.001         -7.380
252764840.000000000000000         32.623        -24.866        -29.357
252764850.000000000000000         64.432        -49.489        -53.073
252764860.000000000000000         97.430        -75.035        -77.749
252764870.000000000000000        130.573       -100.693       -102.572
252764880.000000000000000          0.000          0.000          0.000
252764890.000000000000000       7273.068      -5626.160      -3035.602
252764900.000000000000000      10961.518      -8499.695      -4808.606
252764910.000000000000000      14407.896     -11184.792      -6466.664
252764920.000000000000000      17575.177     -13652.578      -7993.165
252764930.000000000000000      20428.119     -15875.582      -9372.429
252764940.000000000000000          0.000          0.000          0.000
252764950.000000000000000       1776.782      -1389.295       -684.284
252764960.000000000000000       1683.882      -1316.888       -647.548
252764970.000000000000000       1584.802      -1239.624       -608.201
252764980.000000000000000       1481.237      -1158.828       -566.803
252764990.000000000000000       1374.865      -1075.830       -523.953
252765000.000000000000000          0.000          0.000          0.000
252765010.000000000000000       1806.868      -1417.303       -532.541
252765020.000000000000000       1712.355      -1343.374       -503.728
252765030.000000000000000       1611.541      -1264.487       -472.829
252765040.000000000000000       1506.152      -1181.992       -440.278
252765050.000000000000000       1397.873      -1097.221       -406.508
252765060.000000000000000          0.000          0.000          0.000
252765070.000000000000000        178.986       -140.753        -42.235
252765080.000000000000000        193.257       -151.967        -45.289
252765090.000000000000000        208.313       -163.808        -48.488
252765100.000000000000000        223.671       -175.882        -51.721
252765110.000000000000000        238.838       -187.807        -54.885
252765120.000000000000000          0.000          0.000          0.000
252765130.000000000000000        180.620       -142.506        -26.981
252765140.000000000000000        195.007       -153.849        -28.818
252765150.000000000000000        210.159       -165.799        -30.724
252765160.000000000000000        225.623       -178.002        -32.645
252765170.000000000000000        240.914       -190.065        -34.519
252765180.000000000000000          0.000          0.000          0.000
252765190.000000000000000      -1642.141       1288.610        357.399
252765200.000000000000000      -1415.058       1109.868        318.967
252765210.000000000000000      -1183.339        927.522        278.858
252765220.000000000000000       -953.130        746.412        238.173
252765230.000000000000000       -730.264        571.120        197.979
252765240.000000000000000          0.000          0.000          0.000
252765250.000000000000000        181.427       -144.094          3.840
252765260.000000000000000        195.836       -155.541          4.448
252765270.000000000000000        211.020       -167.607          5.127
