                  Time        error x        error y        error z       error 3d
 54467.000000000000000          0.000          0.000          0.000          0.000
 54467.000115740738693          0.794          0.776         -1.369          1.763
 54467.000231481484661          1.461          1.412         -2.485          3.210
 54467.000347222223354          2.030          1.915         -3.387          4.389
 54467.000462962962047          2.479          2.305         -4.070          5.294
 54467.000578703700739          2.843          2.596         -4.541          5.954
 54467.000694444446708          3.117          2.815         -4.925          6.473
 54467.000810185185401          3.315          2.950         -5.135          6.787
 54467.000925925924093          3.442          3.020         -5.238          6.957
 54467.001041666670062          3.504          3.037         -5.246          7.002
 54467.001157407408755          3.513          3.002         -5.189          6.949
 54467.001273148147448          3.488          2.933         -5.044          6.798
 54467.001388888886140          3.418          2.831         -4.850          6.574
 54467.001504629632109          3.304          2.703         -4.606          6.280
 54467.001620370370802          3.169          2.555         -4.328          5.942
 54467.001736111109494          3.010          2.385         -4.028          5.565
 54467.001851851848187          2.823          2.207         -3.725          5.169
 54467.001967592594156          2.621          2.026         -3.405          4.750
 54467.002083333332848          2.425          1.836         -3.067          4.320
 54467.002199074071541          2.215          1.644         -2.735          3.884
 54467.002314814817510          1.987          1.456         -2.426          3.457
 54467.002430555556202          1.768          1.275         -2.110          3.034
 54467.002546296294895          1.557          1.098         -1.790          2.614
 54467.002662037033588          1.336          0.923         -1.493          2.206
 54467.002777777779556          1.112          0.759         -1.234          1.827
 54467.002893518518249          0.903          0.605         -0.984          1.466
 54467.003009259256942          0.705          0.462         -0.751          1.129
 54467.003125000002910          0.509          0.330         -0.528          0.804
 54467.003240740741603          0.325          0.207         -0.336          0.511
 54467.003356481480296          0.155          0.096         -0.138          0.228
 54467.003472222218988          0.000          0.000          0.000          0.000
 54467.003587962964957         -0.150         -0.083          0.125          0.212
 54467.003703703703650         -0.274         -0.159          0.244          0.400
 54467.003819444442343         -0.400         -0.228          0.331          0.567
 54467.003935185188311         -0.518         -0.284          0.396          0.711
 54467.004050925927004         -0.609         -0.329          0.464          0.833
 54467.004166666665697         -0.669         -0.364          0.509          0.916
 54467.004282407404389         -0.726         -0.391          0.506          0.968
 54467.004398148150358         -0.777         -0.413          0.538          1.031
 54467.004513888889051         -0.814         -0.431          0.552          1.073
 54467.004629629627743         -0.835         -0.440          0.548          1.092
 54467.004745370373712         -0.852         -0.442          0.533          1.098
 54467.004861111112405         -0.848         -0.440          0.521          1.088
 54467.004976851851097         -0.833         -0.431          0.494          1.060
 54467.005092592589790         -0.818         -0.419          0.451          1.024
 54467.005208333335759         -0.799         -0.410          0.437          0.998
 54467.005324074074451         -0.769         -0.392          0.392          0.947
 54467.005439814813144         -0.724         -0.377          0.377          0.899
 54467.005555555551837         -0.675         -0.351          0.314          0.823
 54467.005671296297805         -0.620         -0.324          0.265          0.749
 54467.005787037036498         -0.565         -0.291          0.207          0.668
 54467.005902777775191         -0.517         -0.270          0.210          0.620
 54467.006018518521159         -0.463         -0.238          0.180          0.551
 54467.006134259259852         -0.397         -0.211          0.158          0.477
 54467.006249999998545         -0.338         -0.179          0.112          0.399
 54467.006365740737238         -0.269         -0.151          0.089          0.321
 54467.006481481483206         -0.219         -0.116          0.073          0.258
 54467.006597222221899         -0.162         -0.086          0.058          0.192
 54467.006712962960592         -0.100         -0.060          0.047          0.126
 54467.006828703706560         -0.049         -0.026         -0.013          0.057
 54467.006944444445253          0.000          0.000          0.000          0.000
 54467.007060185183946          0.041          0.031         -0.006          0.052
 54467.007175925922638          0.078          0.051          0.003          0.094
 54467.007291666668607          0.131          0.075         -0.018          0.152
 54467.007407407407300          0.192          0.098         -0.031          0.217
 54467.007523148145992          0.218          0.117         -0.046          0.252
 54467.007638888891961          0.229          0.134         -0.014          0.265
 54467.007754629630654          0.238          0.152         -0.024          0.283
 54467.007870370369346          0.257          0.160         -0.027          0.304
 54467.007986111108039          0.293          0.170         -0.002          0.339
 54467.008101851854008          0.309          0.185         -0.005          0.360
 54467.008217592592700          0.311          0.188          0.023          0.364
 54467.008333333331393          0.317          0.192          0.028          0.372
 54467.008449074077362          0.314          0.196          0.000          0.370
 54467.008564814816054          0.310          0.198          0.029          0.369
