                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252764110.000000000000000         -2.119          1.780         -7.787         -0.007          0.022          0.017
252764120.000000000000000          5.409         -5.171        -49.838         -0.009          0.023         -0.006
252764130.000000000000000         13.464        -12.636        -95.075         -0.013          0.021          0.028
252764140.000000000000000         21.788        -20.373       -142.032         -0.020          0.015          0.107
252764150.000000000000000         30.124        -28.117       -189.365         -0.015          0.020          0.031
252764170.000000000000000         -1.677          1.496         -7.947         -0.011          0.022          0.007
252764180.000000000000000          8.169         -7.013        -49.203         -0.007          0.022          0.017
252764190.000000000000000         18.716        -16.154        -93.652         -0.012          0.019          0.022
252764200.000000000000000         29.637        -25.627       -139.857         -0.009          0.018          0.011
252764210.000000000000000         40.565        -35.124       -186.269         -0.012          0.018          0.011
252764220.000000000000000          0.000          0.000          0.000         -0.013          0.019          0.031
252764230.000000000000000         -1.226          1.203         -8.063         -0.009          0.022          0.026
252764240.000000000000000         10.868         -8.846        -48.383         -0.011          0.019          0.027
252764250.000000000000000         23.846        -19.642        -91.813         -0.014          0.018          0.034
252764260.000000000000000         37.296        -30.837       -136.964         -0.009          0.015          0.022
252764270.000000000000000         50.765        -42.063       -182.315         -0.008          0.016          0.026
252764290.000000000000000         -0.778          0.900         -8.162         -0.013          0.021          0.019
252764300.000000000000000         13.508        -10.660        -47.356         -0.013          0.020          0.014
252764310.000000000000000         28.844        -23.086        -89.566         -0.016          0.019          0.027
252764320.000000000000000         44.742        -35.976       -133.453         -0.012          0.016          0.022
252764330.000000000000000         60.670        -48.903       -177.542         -0.016          0.016          0.027
252764350.000000000000000         -0.326          0.587         -8.207         -0.015          0.017          0.029
252764360.000000000000000         16.073        -12.458        -46.092         -0.013          0.014          0.029
252764370.000000000000000         33.684        -26.475        -86.915         -0.016          0.017          0.028
252764380.000000000000000         51.946        -41.015       -129.356         -0.016          0.019          0.017
252764390.000000000000000         70.257        -55.606       -172.005         -0.014          0.020          0.007
252764400.000000000000000          0.000          0.000          0.000         -0.016          0.018          0.023
252764410.000000000000000          0.125          0.267         -8.226         -0.019          0.013          0.034
252764420.000000000000000         18.547        -14.212        -44.636         -0.021          0.016          0.036
252764430.000000000000000         38.349        -29.782        -83.887         -0.016          0.016          0.024
252764440.000000000000000         58.885        -45.937       -124.685         -0.010          0.017          0.013
252764450.000000000000000         79.469        -62.133       -165.684         -0.016          0.032          0.004
252764470.000000000000000          0.572         -0.051         -8.206         -0.019          0.012          0.043
252764480.000000000000000         20.916        -15.919        -42.965         -0.030          0.021          0.057
252764490.000000000000000         42.809        -32.998        -80.475         -0.018          0.016          0.025
252764500.000000000000000         65.499        -50.715       -119.421         -0.023          0.016          0.039
252764510.000000000000000         88.270        -68.497       -158.589         -0.019          0.014          0.029
252764520.000000000000000          0.000          0.000          0.000         -0.016          0.015          0.027
252764530.000000000000000          1.031         -0.383         -8.176         -0.007          0.009          0.020
252764540.000000000000000         23.206        -17.594        -41.145         -0.016          0.013          0.030
252764550.000000000000000         47.057        -36.110        -76.697         -0.018          0.015          0.026
252764560.000000000000000         71.796        -55.326       -113.645         -0.023          0.015          0.036
252764570.000000000000000         96.624        -74.610       -150.802         -0.024          0.017          0.030
252764590.000000000000000       6121.076      -4649.321      -5875.620         -0.016          0.015          0.016
252764600.000000000000000       9154.810      -6993.496      -9079.533         -0.016          0.018          0.011
252764610.000000000000000      11989.031      -9183.706     -12074.485         -0.021          0.016          0.025
252764620.000000000000000      14593.000     -11196.197     -14829.515         -0.021          0.017          0.026
252764630.000000000000000      16937.370     -13008.316     -17315.185         -0.019          0.022          0.016
